day,total_suggestions_count,total_acceptances_count,total_lines_suggested,total_lines_accepted,total_active_users,total_chat_acceptances,total_chat_turns,total_active_chat_users,breakdown
2024-04-25,690,230,1218,269,9,10,46,6,"[{""language"":""javascriptreact"",""editor"":""vscode"",""suggestions_count"":14,""acceptances_count"":8,""lines_suggested"":16,""lines_accepted"":3,""active_users"":2},{""language"":""typescriptreact"",""editor"":""vscode"",""suggestions_count"":243,""acceptances_count"":61,""lines_suggested"":474,""lines_accepted"":78,""active_users"":7},{""language"":""unknown"",""editor"":""vscode"",""suggestions_count"":5,""acceptances_count"":1,""lines_suggested"":7,""lines_accepted"":2,""active_users"":2},{""language"":""javascript"",""editor"":""vscode"",""suggestions_count"":318,""acceptances_count"":147,""lines_suggested"":555,""lines_accepted"":174,""active_users"":4},{""language"":""typescript"",""editor"":""vscode"",""suggestions_count"":41,""acceptances_count"":9,""lines_suggested"":47,""lines_accepted"":7,""active_users"":4},{""language"":""hcl"",""editor"":""vscode"",""suggestions_count"":4,""acceptances_count"":0,""lines_suggested"":5,""lines_accepted"":0,""active_users"":1},{""language"":""json"",""editor"":""vscode"",""suggestions_count"":13,""acceptances_count"":0,""lines_suggested"":15,""lines_accepted"":0,""active_users"":1},{""language"":""scss"",""editor"":""vscode"",""suggestions_count"":35,""acceptances_count"":3,""lines_suggested"":77,""lines_accepted"":4,""active_users"":3},{""language"":""yaml"",""editor"":""vscode"",""suggestions_count"":7,""acceptances_count"":0,""lines_suggested"":11,""lines_accepted"":0,""active_users"":1},{""language"":""json with comments"",""editor"":""vscode"",""suggestions_count"":8,""acceptances_count"":1,""lines_suggested"":8,""lines_accepted"":1,""active_users"":2},{""language"":""kotlin"",""editor"":""jetbrains"",""suggestions_count"":2,""acceptances_count"":0,""lines_suggested"":3,""lines_accepted"":0,""active_users"":1}]"
2024-04-26,956,349,1464,325,12,6,30,7,"[{""language"":""javascriptreact"",""editor"":""vscode"",""suggestions_count"":24,""acceptances_count"":12,""lines_suggested"":25,""lines_accepted"":5,""active_users"":3},{""language"":""typescriptreact"",""editor"":""vscode"",""suggestions_count"":224,""acceptances_count"":55,""lines_suggested"":339,""lines_accepted"":61,""active_users"":3},{""language"":""unknown"",""editor"":""vscode"",""suggestions_count"":6,""acceptances_count"":0,""lines_suggested"":6,""lines_accepted"":0,""active_users"":1},{""language"":""javascript"",""editor"":""vscode"",""suggestions_count"":486,""acceptances_count"":220,""lines_suggested"":811,""lines_accepted"":220,""active_users"":4},{""language"":""ruby"",""editor"":""vscode"",""suggestions_count"":14,""acceptances_count"":1,""lines_suggested"":18,""lines_accepted"":1,""active_users"":2},{""language"":""python"",""editor"":""vscode"",""suggestions_count"":37,""acceptances_count"":11,""lines_suggested"":51,""lines_accepted"":6,""active_users"":2},{""language"":""typescript"",""editor"":""vscode"",""suggestions_count"":54,""acceptances_count"":19,""lines_suggested"":65,""lines_accepted"":6,""active_users"":3},{""language"":""html"",""editor"":""vscode"",""suggestions_count"":6,""acceptances_count"":0,""lines_suggested"":6,""lines_accepted"":0,""active_users"":1},{""language"":""json"",""editor"":""vscode"",""suggestions_count"":10,""acceptances_count"":0,""lines_suggested"":13,""lines_accepted"":0,""active_users"":1},{""language"":""scss"",""editor"":""vscode"",""suggestions_count"":2,""acceptances_count"":0,""lines_suggested"":2,""lines_accepted"":0,""active_users"":1},{""language"":""yaml"",""editor"":""vscode"",""suggestions_count"":2,""acceptances_count"":0,""lines_suggested"":3,""lines_accepted"":0,""active_users"":1},{""language"":""json with comments"",""editor"":""vscode"",""suggestions_count"":13,""acceptances_count"":2,""lines_suggested"":13,""lines_accepted"":2,""active_users"":2},{""language"":""typescriptreact"",""editor"":""jetbrains"",""suggestions_count"":29,""acceptances_count"":9,""lines_suggested"":40,""lines_accepted"":8,""active_users"":2},{""language"":""java"",""editor"":""jetbrains"",""suggestions_count"":5,""acceptances_count"":2,""lines_suggested"":6,""lines_accepted"":3,""active_users"":2},{""language"":""kotlin"",""editor"":""jetbrains"",""suggestions_count"":41,""acceptances_count"":17,""lines_suggested"":62,""lines_accepted"":12,""active_users"":2},{""language"":""json"",""editor"":""jetbrains"",""suggestions_count"":3,""acceptances_count"":1,""lines_suggested"":4,""lines_accepted"":1,""active_users"":2}]"
2024-04-27,601,229,1041,219,3,3,53,2,"[{""language"":""javascriptreact"",""editor"":""vscode"",""suggestions_count"":33,""acceptances_count"":17,""lines_suggested"":38,""lines_accepted"":12,""active_users"":2},{""language"":""typescriptreact"",""editor"":""vscode"",""suggestions_count"":2,""acceptances_count"":0,""lines_suggested"":2,""lines_accepted"":0,""active_users"":1},{""language"":""javascript"",""editor"":""vscode"",""suggestions_count"":308,""acceptances_count"":143,""lines_suggested"":407,""lines_accepted"":94,""active_users"":2},{""language"":""python"",""editor"":""vscode"",""suggestions_count"":167,""acceptances_count"":48,""lines_suggested"":343,""lines_accepted"":82,""active_users"":2},{""language"":""typescript"",""editor"":""vscode"",""suggestions_count"":86,""acceptances_count"":20,""lines_suggested"":237,""lines_accepted"":28,""active_users"":2},{""language"":""json"",""editor"":""vscode"",""suggestions_count"":1,""acceptances_count"":0,""lines_suggested"":2,""lines_accepted"":0,""active_users"":1},{""language"":""yaml"",""editor"":""vscode"",""suggestions_count"":4,""acceptances_count"":1,""lines_suggested"":12,""lines_accepted"":3,""active_users"":2}]"
2024-04-28,195,53,359,60,3,2,24,1,"[{""language"":""python"",""editor"":""vscode"",""suggestions_count"":110,""acceptances_count"":26,""lines_suggested"":179,""lines_accepted"":26,""active_users"":2},{""language"":""typescript"",""editor"":""vscode"",""suggestions_count"":85,""acceptances_count"":27,""lines_suggested"":180,""lines_accepted"":34,""active_users"":2}]"
2024-04-29,1132,260,1942,257,10,29,176,7,"[{""language"":""javascriptreact"",""editor"":""vscode"",""suggestions_count"":7,""acceptances_count"":3,""lines_suggested"":8,""lines_accepted"":1,""active_users"":3},{""language"":""typescriptreact"",""editor"":""vscode"",""suggestions_count"":132,""acceptances_count"":43,""lines_suggested"":177,""lines_accepted"":35,""active_users"":4},{""language"":""unknown"",""editor"":""vscode"",""suggestions_count"":10,""acceptances_count"":0,""lines_suggested"":11,""lines_accepted"":0,""active_users"":1},{""language"":""javascript"",""editor"":""vscode"",""suggestions_count"":426,""acceptances_count"":91,""lines_suggested"":633,""lines_accepted"":65,""active_users"":6},{""language"":""python"",""editor"":""vscode"",""suggestions_count"":249,""acceptances_count"":48,""lines_suggested"":365,""lines_accepted"":52,""active_users"":3},{""language"":""typescript"",""editor"":""vscode"",""suggestions_count"":238,""acceptances_count"":70,""lines_suggested"":664,""lines_accepted"":95,""active_users"":3},{""language"":""html"",""editor"":""vscode"",""suggestions_count"":4,""acceptances_count"":1,""lines_suggested"":9,""lines_accepted"":2,""active_users"":2},{""language"":""json"",""editor"":""vscode"",""suggestions_count"":50,""acceptances_count"":1,""lines_suggested"":55,""lines_accepted"":2,""active_users"":2},{""language"":""scss"",""editor"":""vscode"",""suggestions_count"":5,""acceptances_count"":3,""lines_suggested"":8,""lines_accepted"":5,""active_users"":2},{""language"":""yaml"",""editor"":""vscode"",""suggestions_count"":3,""acceptances_count"":0,""lines_suggested"":3,""lines_accepted"":0,""active_users"":1},{""language"":""json with comments"",""editor"":""vscode"",""suggestions_count"":7,""acceptances_count"":0,""lines_suggested"":8,""lines_accepted"":0,""active_users"":1},{""language"":""properties"",""editor"":""jetbrains"",""suggestions_count"":1,""acceptances_count"":0,""lines_suggested"":1,""lines_accepted"":0,""active_users"":1}]"
2024-04-30,1472,422,2142,380,13,16,173,8,"[{""language"":""git-commit"",""editor"":""vscode"",""suggestions_count"":2,""acceptances_count"":2,""lines_suggested"":7,""lines_accepted"":2,""active_users"":2},{""language"":""github-actions-workflow"",""editor"":""vscode"",""suggestions_count"":2,""acceptances_count"":2,""lines_suggested"":3,""lines_accepted"":2,""active_users"":2},{""language"":""javascriptreact"",""editor"":""vscode"",""suggestions_count"":22,""acceptances_count"":9,""lines_suggested"":22,""lines_accepted"":6,""active_users"":4},{""language"":""typescriptreact"",""editor"":""vscode"",""suggestions_count"":153,""acceptances_count"":38,""lines_suggested"":189,""lines_accepted"":14,""active_users"":5},{""language"":""unknown"",""editor"":""vscode"",""suggestions_count"":1,""acceptances_count"":0,""lines_suggested"":1,""lines_accepted"":0,""active_users"":1},{""language"":""javascript"",""editor"":""vscode"",""suggestions_count"":960,""acceptances_count"":247,""lines_suggested"":1423,""lines_accepted"":218,""active_users"":7},{""language"":""python"",""editor"":""vscode"",""suggestions_count"":87,""acceptances_count"":19,""lines_suggested"":110,""lines_accepted"":18,""active_users"":2},{""language"":""typescript"",""editor"":""vscode"",""suggestions_count"":178,""acceptances_count"":94,""lines_suggested"":282,""lines_accepted"":109,""active_users"":4},{""language"":""css"",""editor"":""vscode"",""suggestions_count"":7,""acceptances_count"":2,""lines_suggested"":21,""lines_accepted"":7,""active_users"":2},{""language"":""html"",""editor"":""vscode"",""suggestions_count"":27,""acceptances_count"":4,""lines_suggested"":37,""lines_accepted"":2,""active_users"":2},{""language"":""json"",""editor"":""vscode"",""suggestions_count"":8,""acceptances_count"":0,""lines_suggested"":9,""lines_accepted"":0,""active_users"":1},{""language"":""scss"",""editor"":""vscode"",""suggestions_count"":22,""acceptances_count"":4,""lines_suggested"":35,""lines_accepted"":2,""active_users"":2},{""language"":""yaml"",""editor"":""vscode"",""suggestions_count"":2,""acceptances_count"":0,""lines_suggested"":2,""lines_accepted"":0,""active_users"":1},{""language"":""json with comments"",""editor"":""vscode"",""suggestions_count"":1,""acceptances_count"":1,""lines_suggested"":1,""lines_accepted"":0,""active_users"":2}]"
2024-05-01,1057,280,1840,210,10,14,172,7,"[{""language"":""git-commit"",""editor"":""vscode"",""suggestions_count"":2,""acceptances_count"":0,""lines_suggested"":2,""lines_accepted"":0,""active_users"":1},{""language"":""javascriptreact"",""editor"":""vscode"",""suggestions_count"":25,""acceptances_count"":9,""lines_suggested"":78,""lines_accepted"":8,""active_users"":3},{""language"":""typescriptreact"",""editor"":""vscode"",""suggestions_count"":197,""acceptances_count"":94,""lines_suggested"":315,""lines_accepted"":27,""active_users"":4},{""language"":""unknown"",""editor"":""vscode"",""suggestions_count"":8,""acceptances_count"":4,""lines_suggested"":9,""lines_accepted"":3,""active_users"":2},{""language"":""javascript"",""editor"":""vscode"",""suggestions_count"":305,""acceptances_count"":85,""lines_suggested"":498,""lines_accepted"":76,""active_users"":5},{""language"":""python"",""editor"":""vscode"",""suggestions_count"":303,""acceptances_count"":59,""lines_suggested"":574,""lines_accepted"":68,""active_users"":2},{""language"":""typescript"",""editor"":""vscode"",""suggestions_count"":69,""acceptances_count"":11,""lines_suggested"":78,""lines_accepted"":5,""active_users"":4},{""language"":""css"",""editor"":""vscode"",""suggestions_count"":24,""acceptances_count"":3,""lines_suggested"":66,""lines_accepted"":5,""active_users"":2},{""language"":""html"",""editor"":""vscode"",""suggestions_count"":72,""acceptances_count"":12,""lines_suggested"":134,""lines_accepted"":15,""active_users"":2},{""language"":""json"",""editor"":""vscode"",""suggestions_count"":16,""acceptances_count"":1,""lines_suggested"":49,""lines_accepted"":1,""active_users"":2},{""language"":""scss"",""editor"":""vscode"",""suggestions_count"":30,""acceptances_count"":2,""lines_suggested"":31,""lines_accepted"":2,""active_users"":2},{""language"":""yaml"",""editor"":""vscode"",""suggestions_count"":6,""acceptances_count"":0,""lines_suggested"":6,""lines_accepted"":0,""active_users"":1}]"
2024-05-02,955,266,1412,211,9,14,130,7,"[{""language"":""javascriptreact"",""editor"":""vscode"",""suggestions_count"":30,""acceptances_count"":11,""lines_suggested"":39,""lines_accepted"":5,""active_users"":2},{""language"":""typescriptreact"",""editor"":""vscode"",""suggestions_count"":76,""acceptances_count"":20,""lines_suggested"":104,""lines_accepted"":7,""active_users"":4},{""language"":""unknown"",""editor"":""vscode"",""suggestions_count"":28,""acceptances_count"":0,""lines_suggested"":35,""lines_accepted"":0,""active_users"":1},{""language"":""javascript"",""editor"":""vscode"",""suggestions_count"":489,""acceptances_count"":133,""lines_suggested"":674,""lines_accepted"":93,""active_users"":4},{""language"":""python"",""editor"":""vscode"",""suggestions_count"":32,""acceptances_count"":6,""lines_suggested"":40,""lines_accepted"":5,""active_users"":3},{""language"":""typescript"",""editor"":""vscode"",""suggestions_count"":96,""acceptances_count"":25,""lines_suggested"":128,""lines_accepted"":10,""active_users"":4},{""language"":""css"",""editor"":""vscode"",""suggestions_count"":1,""acceptances_count"":0,""lines_suggested"":2,""lines_accepted"":0,""active_users"":1},{""language"":""sql"",""editor"":""vscode"",""suggestions_count"":3,""acceptances_count"":0,""lines_suggested"":3,""lines_accepted"":0,""active_users"":1},{""language"":""html"",""editor"":""vscode"",""suggestions_count"":5,""acceptances_count"":1,""lines_suggested"":9,""lines_accepted"":1,""active_users"":2},{""language"":""json"",""editor"":""vscode"",""suggestions_count"":11,""acceptances_count"":2,""lines_suggested"":18,""lines_accepted"":7,""active_users"":3},{""language"":""scss"",""editor"":""vscode"",""suggestions_count"":148,""acceptances_count"":62,""lines_suggested"":247,""lines_accepted"":61,""active_users"":2},{""language"":""yaml"",""editor"":""vscode"",""suggestions_count"":7,""acceptances_count"":0,""lines_suggested"":7,""lines_accepted"":0,""active_users"":1},{""language"":""json with comments"",""editor"":""vscode"",""suggestions_count"":4,""acceptances_count"":0,""lines_suggested"":4,""lines_accepted"":0,""active_users"":1},{""language"":""properties"",""editor"":""jetbrains"",""suggestions_count"":5,""acceptances_count"":0,""lines_suggested"":6,""lines_accepted"":0,""active_users"":1},{""language"":""kotlin"",""editor"":""jetbrains"",""suggestions_count"":20,""acceptances_count"":6,""lines_suggested"":96,""lines_accepted"":22,""active_users"":2}]"
2024-05-03,688,173,1198,194,11,11,127,7,"[{""language"":""javascriptreact"",""editor"":""vscode"",""suggestions_count"":225,""acceptances_count"":50,""lines_suggested"":419,""lines_accepted"":46,""active_users"":5},{""language"":""typescriptreact"",""editor"":""vscode"",""suggestions_count"":46,""acceptances_count"":15,""lines_suggested"":64,""lines_accepted"":14,""active_users"":2},{""language"":""unknown"",""editor"":""vscode"",""suggestions_count"":1,""acceptances_count"":1,""lines_suggested"":1,""lines_accepted"":1,""active_users"":2},{""language"":""javascript"",""editor"":""vscode"",""suggestions_count"":119,""acceptances_count"":28,""lines_suggested"":147,""lines_accepted"":18,""active_users"":6},{""language"":""typescript"",""editor"":""vscode"",""suggestions_count"":18,""acceptances_count"":2,""lines_suggested"":25,""lines_accepted"":1,""active_users"":2},{""language"":""css"",""editor"":""vscode"",""suggestions_count"":3,""acceptances_count"":0,""lines_suggested"":5,""lines_accepted"":0,""active_users"":1},{""language"":""html"",""editor"":""vscode"",""suggestions_count"":115,""acceptances_count"":28,""lines_suggested"":260,""lines_accepted"":25,""active_users"":2},{""language"":""json"",""editor"":""vscode"",""suggestions_count"":11,""acceptances_count"":0,""lines_suggested"":19,""lines_accepted"":0,""active_users"":1},{""language"":""scss"",""editor"":""vscode"",""suggestions_count"":52,""acceptances_count"":11,""lines_suggested"":61,""lines_accepted"":10,""active_users"":3},{""language"":""yaml"",""editor"":""vscode"",""suggestions_count"":6,""acceptances_count"":1,""lines_suggested"":9,""lines_accepted"":1,""active_users"":2},{""language"":""properties"",""editor"":""jetbrains"",""suggestions_count"":9,""acceptances_count"":1,""lines_suggested"":9,""lines_accepted"":0,""active_users"":2},{""language"":""kotlin"",""editor"":""jetbrains"",""suggestions_count"":25,""acceptances_count"":12,""lines_suggested"":28,""lines_accepted"":7,""active_users"":2},{""language"":""markdown"",""editor"":""jetbrains"",""suggestions_count"":6,""acceptances_count"":0,""lines_suggested"":8,""lines_accepted"":0,""active_users"":1},{""language"":""json"",""editor"":""jetbrains"",""suggestions_count"":52,""acceptances_count"":24,""lines_suggested"":143,""lines_accepted"":71,""active_users"":2}]"
2024-05-06,615,166,902,102,10,33,242,6,"[{""language"":""javascriptreact"",""editor"":""vscode"",""suggestions_count"":180,""acceptances_count"":67,""lines_suggested"":214,""lines_accepted"":39,""active_users"":5},{""language"":""typescriptreact"",""editor"":""vscode"",""suggestions_count"":3,""acceptances_count"":1,""lines_suggested"":7,""lines_accepted"":1,""active_users"":2},{""language"":""javascript"",""editor"":""vscode"",""suggestions_count"":182,""acceptances_count"":57,""lines_suggested"":264,""lines_accepted"":24,""active_users"":6},{""language"":""python"",""editor"":""vscode"",""suggestions_count"":146,""acceptances_count"":24,""lines_suggested"":258,""lines_accepted"":19,""active_users"":2},{""language"":""kotlin"",""editor"":""vscode"",""suggestions_count"":2,""acceptances_count"":0,""lines_suggested"":2,""lines_accepted"":0,""active_users"":1},{""language"":""typescript"",""editor"":""vscode"",""suggestions_count"":36,""acceptances_count"":9,""lines_suggested"":42,""lines_accepted"":10,""active_users"":2},{""language"":""json"",""editor"":""vscode"",""suggestions_count"":12,""acceptances_count"":1,""lines_suggested"":24,""lines_accepted"":3,""active_users"":2},{""language"":""scss"",""editor"":""vscode"",""suggestions_count"":3,""acceptances_count"":0,""lines_suggested"":3,""lines_accepted"":0,""active_users"":1},{""language"":""yaml"",""editor"":""vscode"",""suggestions_count"":45,""acceptances_count"":2,""lines_suggested"":81,""lines_accepted"":4,""active_users"":2},{""language"":""kotlin"",""editor"":""jetbrains"",""suggestions_count"":6,""acceptances_count"":5,""lines_suggested"":7,""lines_accepted"":2,""active_users"":2}]"
2024-05-07,272,100,376,88,6,7,36,7,"[{""language"":""javascriptreact"",""editor"":""vscode"",""suggestions_count"":119,""acceptances_count"":49,""lines_suggested"":150,""lines_accepted"":64,""active_users"":3},{""language"":""typescriptreact"",""editor"":""vscode"",""suggestions_count"":78,""acceptances_count"":31,""lines_suggested"":119,""lines_accepted"":13,""active_users"":4},{""language"":""unknown"",""editor"":""vscode"",""suggestions_count"":6,""acceptances_count"":0,""lines_suggested"":7,""lines_accepted"":0,""active_users"":1},{""language"":""javascript"",""editor"":""vscode"",""suggestions_count"":4,""acceptances_count"":3,""lines_suggested"":4,""lines_accepted"":1,""active_users"":2},{""language"":""typescript"",""editor"":""vscode"",""suggestions_count"":37,""acceptances_count"":8,""lines_suggested"":59,""lines_accepted"":5,""active_users"":3},{""language"":""json"",""editor"":""vscode"",""suggestions_count"":14,""acceptances_count"":1,""lines_suggested"":15,""lines_accepted"":1,""active_users"":2},{""language"":""scss"",""editor"":""vscode"",""suggestions_count"":11,""acceptances_count"":7,""lines_suggested"":18,""lines_accepted"":3,""active_users"":2},{""language"":""json with comments"",""editor"":""vscode"",""suggestions_count"":3,""acceptances_count"":1,""lines_suggested"":4,""lines_accepted"":1,""active_users"":2}]"
2024-05-08,337,134,572,135,8,5,29,4,"[{""language"":""javascriptreact"",""editor"":""vscode"",""suggestions_count"":128,""acceptances_count"":60,""lines_suggested"":153,""lines_accepted"":53,""active_users"":4},{""language"":""typescriptreact"",""editor"":""vscode"",""suggestions_count"":40,""acceptances_count"":7,""lines_suggested"":51,""lines_accepted"":3,""active_users"":2},{""language"":""javascript"",""editor"":""vscode"",""suggestions_count"":119,""acceptances_count"":49,""lines_suggested"":276,""lines_accepted"":71,""active_users"":4},{""language"":""ruby"",""editor"":""vscode"",""suggestions_count"":1,""acceptances_count"":1,""lines_suggested"":1,""lines_accepted"":1,""active_users"":2},{""language"":""typescript"",""editor"":""vscode"",""suggestions_count"":16,""acceptances_count"":9,""lines_suggested"":21,""lines_accepted"":4,""active_users"":2},{""language"":""dockerfile"",""editor"":""jetbrains"",""suggestions_count"":33,""acceptances_count"":8,""lines_suggested"":70,""lines_accepted"":3,""active_users"":2}]"
